method,train_set,test_set,scenario,error
centroid,POCO#STANDING,POCO#STANDING,auto,1.221268187466901
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.221268187466901
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.221268187466901
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.221268187466901
centroid,POCO#STANDING,POCO#STANDING,auto,1.3210700779181936
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.3210700779181936
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.3210700779181936
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.3210700779181936
centroid,POCO#STANDING,POCO#STANDING,auto,2.717781417395716
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.717781417395716
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.717781417395716
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.717781417395716
centroid,POCO#STANDING,POCO#STANDING,auto,2.030606106096495
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.030606106096495
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.030606106096495
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.030606106096495
centroid,POCO#STANDING,POCO#STANDING,auto,0.3993212220139355
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.3993212220139355
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.3993212220139355
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.3993212220139355
centroid,POCO#STANDING,POCO#STANDING,auto,1.1545828069731017
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.1545828069731017
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.1545828069731017
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.1545828069731017
centroid,POCO#STANDING,POCO#STANDING,auto,2.256242415539916
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.256242415539916
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.256242415539916
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.256242415539916
centroid,POCO#STANDING,POCO#STANDING,auto,0.776412005374812
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.776412005374812
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.776412005374812
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.776412005374812
centroid,POCO#STANDING,POCO#STANDING,auto,3.769816962364085
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,3.769816962364085
