train_set,seed,phase,epoch,loss,val_loss
POCO#STANDING,0,pretrain,0,0.7181351184844971,0.8713327646255493
POCO#STANDING,0,pretrain,1,0.5458390712738037,0.821844756603241
POCO#STANDING,0,pretrain,2,0.4346704483032226,0.7548636198043823
POCO#STANDING,0,pretrain,3,0.3193766176700592,0.6430820226669312
POCO#STANDING,0,pretrain,4,0.2377583533525467,0.5171180367469788
POCO#STANDING,0,pretrain,5,0.1772017478942871,0.3840927481651306
POCO#STANDING,0,pretrain,6,0.1332770586013794,0.2806078195571899
POCO#STANDING,0,pretrain,7,0.1057600826025009,0.2155362963676452
POCO#STANDING,0,pretrain,8,0.0865003168582916,0.1750756800174713
POCO#STANDING,0,pretrain,9,0.0727164819836616,0.1519508361816406
POCO#STANDING,0,pretrain,10,0.0629263892769813,0.1379342824220657
POCO#STANDING,0,pretrain,11,0.0553849749267101,0.1303075104951858
POCO#STANDING,0,pretrain,12,0.0493987388908863,0.1250408887863159
POCO#STANDING,0,pretrain,13,0.0444977730512619,0.1222956106066703
POCO#STANDING,0,pretrain,14,0.0405576154589653,0.119339719414711
POCO#STANDING,0,pretrain,15,0.0372881852090358,0.1172322705388069
POCO#STANDING,0,pretrain,16,0.0343913547694683,0.116668976843357
POCO#STANDING,0,pretrain,17,0.0319952517747879,0.1160445436835289
POCO#STANDING,0,pretrain,18,0.0299237444996833,0.1140595450997352
POCO#STANDING,0,pretrain,19,0.0280457586050033,0.1131309494376182
POCO#STANDING,0,pretrain,20,0.0265809465199708,0.1119592636823654
POCO#STANDING,0,pretrain,21,0.0252266284078359,0.1097768619656562
POCO#STANDING,0,pretrain,22,0.0240043476223945,0.1104279533028602
POCO#STANDING,0,pretrain,23,0.0229333154857158,0.1068518534302711
POCO#STANDING,0,pretrain,24,0.0220697689801454,0.1060082465410232
POCO#STANDING,0,pretrain,25,0.0214067474007606,0.1061601117253303
POCO#STANDING,0,pretrain,26,0.0206511467695236,0.1044481098651886
POCO#STANDING,0,pretrain,27,0.0203235242515802,0.1054692044854164
POCO#STANDING,0,pretrain,28,0.0197745319455862,0.1036306992173194
POCO#STANDING,0,pretrain,29,0.0197547059506177,0.1038434281945228
POCO#STANDING,0,finetune,0,9.761469841003418,13.688427925109863
POCO#STANDING,0,finetune,1,2.127938747406006,7.511781692504883
POCO#STANDING,0,finetune,2,1.7000240087509155,4.18968391418457
POCO#STANDING,0,finetune,3,1.38016939163208,2.3678464889526367
POCO#STANDING,0,finetune,4,1.2260226011276243,1.2153784036636353
POCO#STANDING,0,finetune,5,1.1452405452728271,1.1843937635421753
POCO#STANDING,0,finetune,6,1.0184580087661743,0.6623592376708984
POCO#STANDING,0,finetune,7,0.9407973885536194,0.5516977310180664
POCO#STANDING,0,finetune,8,0.8674261569976807,0.5825011134147644
POCO#STANDING,0,finetune,9,0.7787043452262878,0.4043622314929962
POCO#STANDING,0,finetune,10,0.7753925323486328,0.4489126205444336
POCO#STANDING,0,finetune,11,0.7561689615249634,0.4001510739326477
POCO#STANDING,0,finetune,12,0.7128952145576477,0.3104826211929321
POCO#STANDING,0,finetune,13,0.6405020356178284,0.29029181599617
POCO#STANDING,0,finetune,14,0.6145044565200806,0.2904452383518219
POCO#STANDING,0,finetune,15,0.5929571986198425,0.2707052528858185
POCO#STANDING,0,finetune,16,0.5837664604187012,0.282451182603836
POCO#STANDING,0,finetune,17,0.5888149738311768,0.3335136771202087
POCO#STANDING,0,finetune,18,0.5500215888023376,0.2756077349185943
POCO#STANDING,0,finetune,19,0.5473383069038391,0.2541171610355377
POCO#STANDING,0,finetune,20,0.5313053131103516,0.277494341135025
POCO#STANDING,0,finetune,21,0.555880606174469,0.2342296987771988
POCO#STANDING,0,finetune,22,0.5160696506500244,0.2211732268333435
POCO#STANDING,0,finetune,23,0.4498210549354553,0.2311058491468429
POCO#STANDING,0,finetune,24,0.4757067859172821,0.2254557162523269
POCO#STANDING,0,finetune,25,0.4725055396556854,0.2283192723989486
POCO#STANDING,0,finetune,26,0.4814741611480713,0.2684533596038818
POCO#STANDING,0,finetune,27,0.4721260368824005,0.2276696115732193
POCO#STANDING,0,finetune,28,0.4560584425926208,0.2057948112487793
POCO#STANDING,0,finetune,29,0.4418990015983581,0.2423781305551529
POCO#STANDING,0,finetune,30,0.4577524960041046,0.2315839678049087
POCO#STANDING,0,finetune,31,0.434445321559906,0.20953468978405
POCO#STANDING,0,finetune,32,0.4294075667858124,0.1965651214122772
POCO#STANDING,0,finetune,33,0.4322763085365295,0.2153875082731247
POCO#STANDING,0,finetune,34,0.4192363917827606,0.1910656094551086
POCO#STANDING,0,finetune,35,0.4061158299446106,0.2043435275554657
POCO#STANDING,0,finetune,36,0.3842784762382507,0.2938275933265686
POCO#STANDING,0,finetune,37,0.4024960398674011,0.1806270331144333
POCO#STANDING,0,finetune,38,0.4077752828598022,0.1897548735141754
POCO#STANDING,0,finetune,39,0.3926811218261719,0.226156085729599
POCO#STANDING,1,pretrain,0,0.6768800616264343,0.9307621717453004
POCO#STANDING,1,pretrain,1,0.5230476260185242,0.8982354998588562
POCO#STANDING,1,pretrain,2,0.4302662909030914,0.8129333257675171
POCO#STANDING,1,pretrain,3,0.311016708612442,0.650351345539093
POCO#STANDING,1,pretrain,4,0.2105977982282638,0.453106939792633
POCO#STANDING,1,pretrain,5,0.1441439688205719,0.3122351467609405
POCO#STANDING,1,pretrain,6,0.1073084995150566,0.2225809842348098
POCO#STANDING,1,pretrain,7,0.0848458334803581,0.1755702793598175
POCO#STANDING,1,pretrain,8,0.0699892714619636,0.1503074616193771
POCO#STANDING,1,pretrain,9,0.0594909600913524,0.1365980356931686
POCO#STANDING,1,pretrain,10,0.0519018955528736,0.1255870014429092
POCO#STANDING,1,pretrain,11,0.0461009629070758,0.1175950616598129
POCO#STANDING,1,pretrain,12,0.0416434295475482,0.1142666637897491
POCO#STANDING,1,pretrain,13,0.0378615632653236,0.1115958765149116
POCO#STANDING,1,pretrain,14,0.0347904562950134,0.1087218448519706
POCO#STANDING,1,pretrain,15,0.0321623757481575,0.1065388172864914
POCO#STANDING,1,pretrain,16,0.0298627149313688,0.1048097684979438
POCO#STANDING,1,pretrain,17,0.0278985239565372,0.1041568741202354
POCO#STANDING,1,pretrain,18,0.0261886641383171,0.1031447723507881
POCO#STANDING,1,pretrain,19,0.0247546266764402,0.1031054332852363
POCO#STANDING,1,pretrain,20,0.0234608203172683,0.1032823473215103
POCO#STANDING,1,pretrain,21,0.0224436726421117,0.1034593433141708
POCO#STANDING,1,pretrain,22,0.0217127315700054,0.1048287525773048
POCO#STANDING,1,pretrain,23,0.0211583171039819,0.1054759547114372
POCO#STANDING,1,pretrain,24,0.0209407825022935,0.1065085306763649
POCO#STANDING,1,pretrain,25,0.0209344830363988,0.1054335236549377
POCO#STANDING,1,pretrain,26,0.0216068215668201,0.1063439100980758
POCO#STANDING,1,pretrain,27,0.0224675610661506,0.101207822561264
POCO#STANDING,1,pretrain,28,0.0224758069962263,0.0980862453579902
POCO#STANDING,1,pretrain,29,0.0213883277028799,0.1055300235748291
POCO#STANDING,1,finetune,0,8.214483261108398,11.741573333740234
POCO#STANDING,1,finetune,1,1.929943323135376,5.606768131256104
POCO#STANDING,1,finetune,2,1.517042875289917,3.019615650177002
POCO#STANDING,1,finetune,3,1.242573618888855,1.6286083459854126
POCO#STANDING,1,finetune,4,1.1245063543319702,0.6958523392677307
POCO#STANDING,1,finetune,5,0.9888716340065002,0.6105429530143738
POCO#STANDING,1,finetune,6,0.9940989017486572,0.3818983733654022
POCO#STANDING,1,finetune,7,0.9072179198265076,0.367364764213562
POCO#STANDING,1,finetune,8,0.7859506607055664,0.3628076910972595
POCO#STANDING,1,finetune,9,0.7590046525001526,0.3324505388736725
POCO#STANDING,1,finetune,10,0.6714745163917542,0.3953211009502411
POCO#STANDING,1,finetune,11,0.649321436882019,0.3047438859939575
POCO#STANDING,1,finetune,12,0.6388673186302185,0.3650178015232086
POCO#STANDING,1,finetune,13,0.6350044012069702,0.2639304399490356
POCO#STANDING,1,finetune,14,0.5849205255508423,0.3692639172077179
POCO#STANDING,1,finetune,15,0.5868914127349854,0.2891308069229126
POCO#STANDING,1,finetune,16,0.5703359842300415,0.2546680867671966
POCO#STANDING,1,finetune,17,0.5162292122840881,0.2496563047170639
POCO#STANDING,1,finetune,18,0.5102367401123047,0.2653961479663849
POCO#STANDING,1,finetune,19,0.547557532787323,0.2821770310401916
POCO#STANDING,1,finetune,20,0.527591347694397,0.3265753090381622
POCO#STANDING,1,finetune,21,0.5150328874588013,0.2456360906362533
POCO#STANDING,1,finetune,22,0.4836094379425049,0.2411773055791854
POCO#STANDING,1,finetune,23,0.4782519340515136,0.2192040979862213
POCO#STANDING,1,finetune,24,0.4695403277873993,0.2034354507923126
POCO#STANDING,1,finetune,25,0.4328590333461761,0.1901902109384536
POCO#STANDING,1,finetune,26,0.4583933055400848,0.2167961299419403
POCO#STANDING,1,finetune,27,0.4418023824691772,0.1949028521776199
POCO#STANDING,1,finetune,28,0.4197681248188019,0.2053965777158737
POCO#STANDING,1,finetune,29,0.4010730683803558,0.2058805376291275
POCO#STANDING,1,finetune,30,0.4270345270633697,0.2155916541814804
POCO#STANDING,1,finetune,31,0.4125394821166992,0.1936497539281845
POCO#STANDING,1,finetune,32,0.4059799909591675,0.1772304028272628
POCO#STANDING,1,finetune,33,0.3757627606391907,0.1670150607824325
POCO#STANDING,1,finetune,34,0.3725350797176361,0.1708380430936813
POCO#STANDING,1,finetune,35,0.3755583167076111,0.228721335530281
POCO#STANDING,1,finetune,36,0.3449816405773163,0.2232007682323455
POCO#STANDING,1,finetune,37,0.3991933763027191,0.1694472283124923
POCO#STANDING,1,finetune,38,0.3868957161903381,0.1583977341651916
POCO#STANDING,1,finetune,39,0.3911558985710144,0.1644521802663803
POCO#STANDING,2,pretrain,0,0.7228085994720459,0.8841661810874939
POCO#STANDING,2,pretrain,1,0.5488513708114624,0.8695209622383118
POCO#STANDING,2,pretrain,2,0.4681019484996795,0.792425811290741
POCO#STANDING,2,pretrain,3,0.3818130791187286,0.70391446352005
POCO#STANDING,2,pretrain,4,0.2889179587364197,0.554088294506073
POCO#STANDING,2,pretrain,5,0.2075676172971725,0.3822216689586639
POCO#STANDING,2,pretrain,6,0.1489341706037521,0.2901854217052459
