method,train_set,test_set,scenario,seed,mean_error,median_error,p75_error,p95_error,max_error,n_samples
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#STANDING,auto,0,0.4375113844871521,0.4147035181522369,0.5768539905548096,0.8236152529716492,1.487412691116333,1752
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#TRIPOD,cross-pose,0,0.9600781798362732,0.8261631727218628,1.2825963497161863,2.194120168685913,3.727452993392944,1616
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#STANDING,cross-device,0,1.45024836063385,1.4776854515075684,2.1283414363861084,2.807605266571045,5.04932165145874,1711
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#TRIPOD,cross-both,0,1.2338138818740845,1.1467918157577517,1.746776103973389,2.2885327339172363,3.116476058959961,1717
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#STANDING,auto,1,0.39251309633255,0.3503417372703552,0.5252919793128967,0.8201430439949036,1.5233193635940552,1752
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#TRIPOD,cross-pose,1,1.0230807065963743,0.8338940143585205,1.3911123275756836,2.3801701068878174,4.371508121490479,1616
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#STANDING,cross-device,1,1.4519442319869995,1.4668169021606443,1.9055147171020508,2.8722951412200928,5.461972236633301,1711
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#TRIPOD,cross-both,1,1.212960124015808,1.126449704170227,1.537954330444336,2.5343575477600098,3.6159918308258057,1717
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#STANDING,auto,2,0.3772341907024383,0.3462992012500763,0.4898342192173004,0.7998241782188416,1.837524175643921,1752
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#TRIPOD,cross-pose,2,0.9827699065208436,0.8540414571762085,1.3460514545440674,2.164203405380249,3.934556007385254,1616
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#STANDING,cross-device,2,1.534801006317139,1.5216093063354492,1.949056386947632,2.644505500793457,4.614649772644043,1711
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#TRIPOD,cross-both,2,1.2508970499038696,1.1452581882476809,1.6679553985595703,2.13854455947876,3.607665061950684,1717
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#STANDING,auto,3,0.4072642922401428,0.3755689561367035,0.5322349071502686,0.8459776639938354,1.6922690868377686,1752
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#TRIPOD,cross-pose,3,1.0299584865570068,0.8687630891799927,1.45930016040802,2.375814437866211,5.4649577140808105,1616
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#STANDING,cross-device,3,1.1717792749404907,0.958807408809662,1.7045176029205322,2.411966323852539,4.287252426147461,1711
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#TRIPOD,cross-both,3,1.0221384763717651,0.9024183750152588,1.4252744913101196,1.952120661735535,3.1887385845184326,1717
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#STANDING,auto,4,0.3605887293815613,0.321004182100296,0.4645057618618011,0.7672234773635864,3.176683187484741,1752
CAE-CNNLoc-2D-N16,POCO#STANDING,POCO#TRIPOD,cross-pose,4,0.9226916432380676,0.7517247200012207,1.1462485790252686,2.3019585609436035,4.378255844116211,1616
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#STANDING,cross-device,4,1.4441630840301514,1.3767366409301758,2.005313873291016,2.882699012756348,4.551248073577881,1711
CAE-CNNLoc-2D-N16,POCO#STANDING,SAMSUNG#TRIPOD,cross-both,4,1.1953883171081543,1.1253447532653809,1.6772654056549072,2.145280122756958,3.158399105072021,1717
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#STANDING,cross-pose,0,1.0326532125473022,0.8754106760025024,1.327172040939331,2.4243781566619877,4.19198751449585,1752
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#TRIPOD,auto,0,0.3419665396213531,0.3031026721000671,0.4445102214813232,0.7310038208961487,2.913859844207764,1616
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,0,1.5745930671691897,1.498273849487305,2.2047126293182373,3.126991271972656,4.09227991104126,1711
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,0,1.1254969835281372,1.0454906225204468,1.581971287727356,2.6410462856292725,3.313919305801392,1717
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#STANDING,cross-pose,1,1.1337757110595703,0.988303244113922,1.4624073505401611,2.5390992164611816,4.612339496612549,1752
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#TRIPOD,auto,1,0.3544128239154815,0.3271835148334503,0.4607745110988617,0.7001940011978149,1.9433165788650515,1616
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,1,1.7203370332717896,1.7773252725601196,2.1591620445251465,3.354266166687012,3.6976475715637207,1711
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,1,1.3837071657180786,1.355164885520935,1.9308767318725584,2.6719772815704346,3.309643030166626,1717
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#STANDING,cross-pose,2,1.0889900922775269,0.9581756591796876,1.4116941690444946,2.342808961868286,4.771331310272217,1752
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#TRIPOD,auto,2,0.3336402177810669,0.3002785742282867,0.4381446838378906,0.6969684958457947,1.6345006227493286,1616
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,2,1.505069136619568,1.3890433311462402,2.117565155029297,2.989469051361084,4.344511032104492,1711
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,2,1.0926592350006104,1.0078589916229248,1.5322438478469849,2.4244027137756348,3.187110185623169,1717
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#STANDING,cross-pose,3,1.0950826406478882,0.9160086512565612,1.41069495677948,2.480169773101806,3.9984540939331055,1752
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#TRIPOD,auto,3,0.3822416663169861,0.3474290668964386,0.501655638217926,0.8085679411888123,2.7089555263519287,1616
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,3,1.4266791343688965,1.2499618530273438,1.8635568618774412,3.302140474319458,4.181445121765137,1711
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,3,1.1270076036453247,1.013587236404419,1.4266778230667114,2.1960256099700928,3.2123618125915527,1717
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#STANDING,cross-pose,4,1.055290937423706,0.8894821405410767,1.3215991258621216,2.4180421829223637,4.609990119934082,1752
CAE-CNNLoc-2D-N16,POCO#TRIPOD,POCO#TRIPOD,auto,4,0.3109937906265259,0.2751569151878357,0.4113011956214905,0.6626417636871338,1.5932666063308716,1616
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#STANDING,cross-both,4,1.3887723684310913,1.4018601179122925,1.8248149156570437,2.9255495071411133,3.8021318912506095,1711
CAE-CNNLoc-2D-N16,POCO#TRIPOD,SAMSUNG#TRIPOD,cross-device,4,1.0597397089004517,0.942982017993927,1.4320549964904783,2.4684457778930664,2.8560469150543213,1717
CAE-CNNLoc-2D-N16,SAMSUNG#STANDING,POCO#STANDING,cross-device,0,4.0506272315979,3.874513626098633,5.350315093994141,7.418444633483887,11.603759765625,1752
CAE-CNNLoc-2D-N16,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,0,4.000182628631592,3.8987436294555664,5.291612148284912,7.169904708862305,12.617290496826172,1616
CAE-CNNLoc-2D-N16,SAMSUNG#STANDING,SAMSUNG#STANDING,auto,0,0.3971765637397766,0.3251008689403534,0.5264504551887512,0.9928762912750244,2.133988380432129,1711
CAE-CNNLoc-2D-N16,SAMSUNG#STANDING,SAMSUNG#TRIPOD,cross-pose,0,0.8955639004707336,0.791587769985199,1.2936429977416992,1.8534377813339236,3.913245677947998,1717
CAE-CNNLoc-2D-N16,SAMSUNG#STANDING,POCO#STANDING,cross-device,1,2.946619033813477,2.769409418106079,3.83978009223938,6.0046586990356445,9.483777046203612,1752
CAE-CNNLoc-2D-N16,SAMSUNG#STANDING,POCO#TRIPOD,cross-both,1,2.820082187652588,2.522641658782959,3.86413311958313,5.524445533752441,9.60712432861328,1616
