n_window,test_set,mean_error,std_error,median_error,p75,p95,n_samples
8,POCO#STANDING,0.395,0.255,0.348,0.524,0.855,10968
8,POCO#TRIPOD,0.851,0.684,0.669,1.055,2.168,10137
8,SAMSUNG#STANDING,1.338,0.77,1.276,1.821,2.666,10719
8,SAMSUNG#TRIPOD,1.122,0.602,1.066,1.475,2.15,10755
16,POCO#STANDING,0.321,0.193,0.288,0.43,0.681,10488
16,POCO#TRIPOD,0.904,0.62,0.76,1.193,2.17,9657
16,SAMSUNG#STANDING,1.288,0.738,1.149,1.791,2.597,10239
16,SAMSUNG#TRIPOD,1.068,0.58,0.969,1.459,2.067,10275
32,POCO#STANDING,0.236,0.132,0.216,0.315,0.478,9528
32,POCO#TRIPOD,0.912,0.576,0.786,1.208,2.062,8697
32,SAMSUNG#STANDING,1.532,0.746,1.474,1.97,2.934,9279
32,SAMSUNG#TRIPOD,1.246,0.613,1.151,1.652,2.36,9315
